item,calories,fat_g,carb_g,fiber_g,protein_g
Tazo Green Tea Latte,450,10,230,2,17
Tazo Tea,0,0,0,0,0
Tazo Tea,0,0,0,0,0
Tazo Tea,0,0,0,0,0
Tazo Tea,0,0,0,0,0
The Classic - Bantam Bagels (2 Pack),200,8,28,0,6
Toffeedoodle,300,13,44,1,3
Turkey & Fire-Roasted Corn Salad,560,29,53,7,24
Turkey & Havarti Sandwich,460,21,31,2,29
Turkey Pesto Panini,560,23,55,3,34
Vanilla Bean (Without Whipped Cream),170,0.1,160,0,4
Vanilla Bean (Without Whipped Cream),180,1.5,160,1,3
Vanilla Bean (Without Whipped Cream),200,3.5,160,0,3
Vanilla Bean (Without Whipped Cream),240,0.1,230,0,5
Vanilla Bean Whoopie Pie,360,18,45,1,3
Vanilla Latte (Or Other Flavoured Latte),100,0.1,70,0,6
Vanilla Latte (Or Other Flavoured Latte),110,2.5,60,1,5
Vanilla Latte (Or Other Flavoured Latte),130,3.5,80,0,6
Vanilla Latte (Or Other Flavoured Latte),150,0.2,110,0,9
Vanilla Latte (Or Other Flavoured Latte),160,4,95,1,7
Vanilla Latte (Or Other Flavoured Latte),200,0.3,140,0,12
Vanilla Latte (Or Other Flavoured Latte),200,5,125,0,9
Vanilla Latte (Or Other Flavoured Latte),210,5,120,1,9
Vanilla Latte (Or Other Flavoured Latte),250,0.3,180,0,15
Vanilla Latte (Or Other Flavoured Latte),250,6,150,0,12
Vanilla Latte (Or Other Flavoured Latte),270,7,160,2,12
Vanilla Latte (Or Other Flavoured Latte),320,9,200,0,15
Vermont Maple Walnut Muffin,390,21,45,2,6
Volpi Pepperoni & Tomato Savory Foldover,270,14,27,2,10
White Chocolate Mocha (Without Whipped Cream),180,3,120,0,7
White Chocolate Mocha (Without Whipped Cream),180,5,110,1,6
White Chocolate Mocha (Without Whipped Cream),200,6,125,0,7
White Chocolate Mocha (Without Whipped Cream),270,4.5,190,0,12
White Chocolate Mocha (Without Whipped Cream),280,8,170,1,10
White Chocolate Mocha (Without Whipped Cream),310,9,200,0,11
White Chocolate Mocha (Without Whipped Cream),350,6,240,0,15
White Chocolate Mocha (Without Whipped Cream),370,10,220,1,13
White Chocolate Mocha (Without Whipped Cream),400,11,250,0,15
White Chocolate Mocha (Without Whipped Cream),450,7,310,0,19
White Chocolate Mocha (Without Whipped Cream),460,13,290,1,16
White Chocolate Mocha (Without Whipped Cream),510,15,330,0,19
Za'atar Chicken & Lemon Tahini Salad,570,23,67,11,27
