category,item,calories,fat_g,carb_g,fiber_g,protein_g,sugars_g,retailer
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Medium",860,31,138,0,8,130,Dunkin Donuts
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Small",610,22,97,0,6,91,Dunkin Donuts
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Skim Milk, Large",830,5,184,0,11,173,Dunkin Donuts
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Skim Milk, Medium",640,4.5,141,0,9,133,Dunkin Donuts
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Skim Milk, Small",460,4.5,99,0,6,93,Dunkin Donuts
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Whole Milk, Large",880,11,183,0,11,173,Dunkin Donuts
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Whole Milk, Medium",680,9,141,0,8,132,Dunkin Donuts
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Whole Milk, Small",490,8,99,0,6,92,Dunkin Donuts
Frozen Coffee,"Frozen Coffee with Cream, Large",780,35,113,0,7,108,Dunkin Donuts
Frozen Coffee,"Frozen Coffee with Cream, Medium",590,26,85,0,5,81,Dunkin Donuts
Frozen Coffee,"Frozen Coffee with Cream, Small",390,17,57,0,3,54,Dunkin Donuts
Frozen Coffee,"Frozen Coffee with Skim Milk, Large",500,0,117,0,8,112,Dunkin Donuts
Frozen Coffee,"Frozen Coffee with Skim Milk, Medium",370,0,88,0,6,84,Dunkin Donuts
Frozen Coffee,"Frozen Coffee with Skim Milk, Small",250,0,59,0,4,56,Dunkin Donuts
Frozen Coffee,"Frozen Coffee with Whole Milk, Large",550,6,117,0,7,111,Dunkin Donuts
Frozen Coffee,"Frozen Coffee with Whole Milk, Medium",410,4.5,88,0,5,84,Dunkin Donuts
Frozen Coffee,"Frozen Dunkaccino, Large",930,22,177,3,10,159,Dunkin Donuts
Frozen Coffee,"Frozen Dunkaccino, Medium",710,17,134,3,8,119,Dunkin Donuts
Frozen Coffee,"Frozen Dunkaccino, Small",510,13,94,2,5,83,Dunkin Donuts
Frozen Coffee,"Frozen Matcha Latte with Skim Milk, Large",480,0,111,2,8,109,Dunkin Donuts
Frozen Coffee,"Frozen Matcha Latte with Skim Milk, Medium",360,0,83,1,6,82,Dunkin Donuts
Frozen Coffee,"Frozen Matcha Latte with Skim Milk, Small",240,0,55,1,4,54,Dunkin Donuts
Frozen Coffee,"Frozen Matcha Latte with Whole Milk, Large",530,6,110,2,8,109,Dunkin Donuts
Frozen Coffee,"Frozen Matcha Latte with Whole Milk, Medium",390,4.5,83,1,6,81,Dunkin Donuts
Frozen Coffee,"Frozen Matcha Latte with Whole Milk, Small",260,3,55,1,4,54,Dunkin Donuts
Frozen Coffee,"Frozen Vanilla Chai/Vanilla Spice, Large",790,14,160,0,9,151,Dunkin Donuts
Frozen Coffee,"Frozen Vanilla Chai/Vanilla Spice, Medium",590,10,120,0,7,113,Dunkin Donuts
Frozen Coffee,"Frozen Vanilla Chai/Vanilla Spice, Small",400,7,80,0,4,75,Dunkin Donuts
Frozen Coffee,"Limited Time Products, Frozen Specialty",NA,NA,NA,NA,NA,NA,Dunkin Donuts
Frozen Coffee,Limited Time Productsâ Frozen Coffee,NA,NA,NA,NA,NA,NA,Dunkin Donuts
Hot Americano,"Americano, Large",10,0,2,0,0,0,Dunkin Donuts
Hot Americano,"Americano, Medium",10,0,2,0,0,0,Dunkin Donuts
Hot Americano,"Americano, Small",5,0,1,0,0,0,Dunkin Donuts
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Large",310,0,64,0,11,60,Dunkin Donuts
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Medium",230,0,48,0,9,45,Dunkin Donuts
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Small",150,0,32,0,6,30,Dunkin Donuts
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Large",370,8,63,0,11,60,Dunkin Donuts
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Medium",280,6,47,0,8,45,Dunkin Donuts
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Small",190,4,32,0,5,30,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Large",230,0,48,0,8,47,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Medium",170,0,36,0,6,35,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Small",110,0,24,0,4,23,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Skim Milk, Large",90,0,13,0,8,12,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Skim Milk, Medium",70,0,10,0,6,9,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Skim Milk, Small",45,0,7,0,4,6,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Large",290,8,48,0,8,46,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Medium",220,6,36,0,6,35,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Small",150,4,24,0,4,23,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Whole Milk, Large",160,8,13,0,8,12,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Whole Milk, Medium",120,6,10,0,6,9,Dunkin Donuts
Hot Cappuccino,"Cappuccino with Whole Milk, Small",80,4,7,0,4,6,Dunkin Donuts
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Large",310,0,65,0,11,63,Dunkin Donuts
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Medium",230,0,49,0,8,47,Dunkin Donuts
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Small",160,0,33,0,6,32,Dunkin Donuts
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Large",380,8,65,0,11,63,Dunkin Donuts
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Medium",280,6,48,0,8,47,Dunkin Donuts
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Small",190,4,32,0,5,31,Dunkin Donuts
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Large",310,0,65,0,11,61,Dunkin Donuts
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Medium",230,0,48,0,8,46,Dunkin Donuts
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Small",150,0,32,0,5,30,Dunkin Donuts
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Large",370,8,64,0,10,60,Dunkin Donuts
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Medium",280,6,48,0,8,45,Dunkin Donuts
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Small",190,4,32,0,5,30,Dunkin Donuts
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Large",310,0,65,0,11,61,Dunkin Donuts
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Medium",230,0,49,0,8,46,Dunkin Donuts
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Small",150,0,32,0,5,30,Dunkin Donuts
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Large",370,8,64,0,10,60,Dunkin Donuts
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Medium",280,6,48,0,8,45,Dunkin Donuts
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Small",190,4,32,0,5,30,Dunkin Donuts
Hot Cappuccino,Limited Time Products Hot Cappuccino,NA,NA,NA,NA,NA,NA,Dunkin Donuts
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Large",300,1,64,2,10,58,Dunkin Donuts
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Medium",220,1,48,2,7,43,Dunkin Donuts
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Small",150,0.5,32,1,5,29,Dunkin Donuts
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Large",360,9,63,2,9,57,Dunkin Donuts
