category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size,milk_type
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Small",150,0,0,0,NA,85,32,0,30,5,175,drink,small,skim
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Large",370,8,4.5,0,30,170,64,0,60,10,424.5,drink,large,whole
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,130,48,0,45,8,320.5,drink,medium,whole
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,85,32,0,30,5,217.5,drink,small,whole
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Large",300,1,0.5,0,NA,140,64,2,58,10,348.5,drink,large,skim
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Medium",220,1,0.5,0,NA,105,48,2,43,7,256.5,drink,medium,skim
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Small",150,0.5,0,0,0,70,32,1,29,5,174,drink,small,skim
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Large",360,9,5,0,25,140,63,2,57,9,413,drink,large,whole
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Medium",270,7,4,0,20,110,48,2,43,7,310,drink,medium,whole
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Small",180,4.5,2.5,0,10,70,32,1,29,5,206.5,drink,small,whole
Hot Cappuccino,Limited Time Products Hot Cappuccino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drink,not applicable,not applicable
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,NA,370,64,0,60,11,359,drink,large,skim
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,NA,280,48,0,45,9,266,drink,medium,skim
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Small",150,0,0,0,NA,190,32,0,30,6,174,drink,small,skim
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Large",370,8,4.5,0,25,370,63,0,60,11,423.5,drink,large,whole
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,280,47,0,45,8,320.5,drink,medium,whole
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,190,32,0,30,5,217.5,drink,small,whole
Hot Chocolate,"Box of Joe, Hot Chocolate",220,7,6,0,0,210,40,2,32,2,256,drink,not applicable,not applicable
Hot Chocolate,"Dunkaccino, Extra Large",540,23,19,0,10,510,80,1,58,4,613,drink,large,not applicable
Hot Chocolate,"Dunkaccino, Large",490,21,17,0,10,470,73,1,53,4,556,drink,large,not applicable
Hot Chocolate,"Dunkaccino, Medium",350,15,12,0,NA,340,52,1,38,3,397,drink,medium,not applicable
Hot Chocolate,"Dunkaccino, Small",240,10,8,0,NA,230,36,0,26,2,272,drink,small,not applicable
Hot Chocolate,"French Vanilla Dunkaccino, Extra Large",570,26,21,0,10,570,86,1,62,4,649,drink,large,not applicable
Hot Chocolate,"French Vanilla Dunkaccino, Large",470,21,17,0,10,460,70,1,50,3,534,drink,large,not applicable
Hot Chocolate,"French Vanilla Dunkaccino, Medium",350,16,13,0,NA,350,53,1,38,2,399,drink,medium,not applicable
Hot Chocolate,"French Vanilla Dunkaccino, Small",230,10,8,0,NA,230,35,0,25,2,261,drink,small,not applicable
Hot Chocolate,"Hot Chocolate with Espresso Shot, Large",400,12,11,0,0,390,71,3,55,3,463,drink,large,not applicable
Hot Chocolate,"Hot Chocolate with Espresso Shot, Medium",280,9,8,0,0,280,51,2,39,2,325,drink,medium,not applicable
Hot Chocolate,"Hot Chocolate with Espresso Shot, Small",190,6,5,0,0,190,35,1,27,2,220,drink,small,not applicable
Hot Chocolate,"Mint Hot Chocolate, Extra Large",490,16,14,0,0,430,87,3,70,3,571,drink,large,not applicable
Hot Chocolate,"Mint Hot Chocolate, Large",400,13,12,0,0,350,72,3,57,3,466,drink,large,not applicable
Hot Chocolate,"Mint Hot Chocolate, Medium",300,10,9,0,0,260,52,2,42,2,349,drink,medium,not applicable
Hot Chocolate,"Mint Hot Chocolate, Small",210,7,6,0,0,180,36,1,29,1,244,drink,small,not applicable
Hot Chocolate,"OREO Hot Chocolate, Extra Large",580,13,10,0,0,630,110,4,88,7,671,drink,large,not applicable
Hot Chocolate,"OREO Hot Chocolate, Large",460,10,8,0,0,500,88,3,70,6,532,drink,large,not applicable
